Title,Duration in minutes,Rating (Numeric),Rating (Label),Votes,Link,Genres,Poster Link,Description
Coco,105,8.4,PG,630243,https://www.imdb.com/title/tt2380307/,"Animation, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_.jpg,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Amadeus,160,8.4,PG,441941,https://www.imdb.com/title/tt0086879/,"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_.jpg,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him."
Toy Story,81,8.3,G,1104104,https://www.imdb.com/title/tt0114709/,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.
Oldeuboi,120,8.3,R,662768,https://www.imdb.com/title/tt0364569/,"Action, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,8.3,PG,532017,https://www.imdb.com/title/tt0057012/,"Comedy, War",https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_.jpg,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Avengers: Endgame,181,8.4,PG-13,1323014,https://www.imdb.com/title/tt4154796/,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe."
American Beauty,122,8.3,R,1235032,https://www.imdb.com/title/tt0169547/,Drama,https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_.jpg,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.
Good Will Hunting,126,8.3,R,1112416,https://www.imdb.com/title/tt0119217/,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_.jpg,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Braveheart,178,8.3,R,1115965,https://www.imdb.com/title/tt0112573/,"Biography, Drama, War",https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_.jpg,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Das Boot,149,8.4,Unknown Rating,273830,https://www.imdb.com/title/tt0082096/,"Drama, War",https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_.jpg,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Mononoke-hime,133,8.3,PG-13,450639,https://www.imdb.com/title/tt0119698/,"Animation, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BNjAzODViNGEtMjBkYi00N2U5LWJjNjAtY2U0MGJhZTEwOTU0XkEyXkFqcGc@._V1_.jpg,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Kimi no na wa.,106,8.4,Unknown Rating,343415,https://www.imdb.com/title/tt5311514/,"Animation, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_.jpg,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
Tengoku to jigoku,143,8.4,Not Rated,57702,https://www.imdb.com/title/tt0057565/,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BOTFmOTNjYjUtMDA2MC00ZTJiLThiYzktNDdjNzQwMjNkN2NmXkEyXkFqcGc@._V1_.jpg,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.
Joker,122,8.3,R,1573721,https://www.imdb.com/title/tt7286456/,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_.jpg,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
3 Idiots,170,8.4,PG-13,450165,https://www.imdb.com/title/tt1187043/,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_.jpg,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;."
Once Upon a Time in America,229,8.3,R,388978,https://www.imdb.com/title/tt0087843/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_.jpg,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Singin&apos; in the Rain,103,8.3,G,268633,https://www.imdb.com/title/tt0045152/,"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_.jpg,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Capharnaüm,126,8.4,R,112617,https://www.imdb.com/title/tt8267604/,Drama,https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_.jpg,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Idi i smotri,142,8.3,Not Rated,107274,https://www.imdb.com/title/tt0091251/,"Drama, Thriller, War",https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_.jpg,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Requiem for a Dream,102,8.3,NC-17,924764,https://www.imdb.com/title/tt0180093/,Drama,https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_.jpg,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Toy Story 3,103,8.3,G,917977,https://www.imdb.com/title/tt0435761/,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home."
Star Wars: Episode VI - Return of the Jedi,131,8.3,PG,1149039,https://www.imdb.com/title/tt0086190/,"Action, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_.jpg,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
Jagten,115,8.3,R,379745,https://www.imdb.com/title/tt2106476/,Drama,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_.jpg,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li..."
Eternal Sunshine of the Spotless Mind,108,8.3,R,1115570,https://www.imdb.com/title/tt0338013/,"Drama, Romance, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
Ikiru,143,8.3,Not Rated,93973,https://www.imdb.com/title/tt0044741/,Drama,https://m.media-amazon.com/images/M/MV5BZTk4OGEwNDQtOGI2MC00MTU2LTk0YTEtNmU5NTIxMWNkNDhlXkEyXkFqcGc@._V1_.jpg,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
2001: A Space Odyssey,149,8.3,G,742043,https://www.imdb.com/title/tt0062622/,"Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_.jpg,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
Reservoir Dogs,99,8.3,R,1117569,https://www.imdb.com/title/tt0105236/,"Crime, Thriller",https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_.jpg,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
The Apartment,125,8.3,Approved,204516,https://www.imdb.com/title/tt0053604/,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_.jpg,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
Lawrence of Arabia,227,8.3,PG,324379,https://www.imdb.com/title/tt0056172/,"Adventure, Biography, Drama",https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_.jpg,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
Incendies,131,8.3,R,218257,https://www.imdb.com/title/tt1255953/,"Drama, Mystery, War",https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_.jpg,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.
Scarface,170,8.3,R,946878,https://www.imdb.com/title/tt0086250/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_.jpg,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
Double Indemnity,107,8.3,Approved,172454,https://www.imdb.com/title/tt0036775/,"Crime, Drama, Film-Noir",https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_.jpg,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
North by Northwest,136,8.3,Approved,356638,https://www.imdb.com/title/tt0053125/,"Adventure, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_.jpg,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Citizen Kane,119,8.3,PG,476114,https://www.imdb.com/title/tt0033467/,"Drama, Mystery",https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_.jpg,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;"
Heat,170,8.3,R,741470,https://www.imdb.com/title/tt0113277/,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_.jpg,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
M - Eine Stadt sucht einen Mörder,99,8.3,Passed,174460,https://www.imdb.com/title/tt0022100/,"Crime, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_.jpg,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Vertigo,128,8.3,PG,439176,https://www.imdb.com/title/tt0052357/,"Mystery, Romance, Thriller",https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_.jpg,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Full Metal Jacket,116,8.2,R,810859,https://www.imdb.com/title/tt0093058/,"Drama, War",https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_.jpg,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Up,96,8.3,PG,1161343,https://www.imdb.com/title/tt1049413/,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_.jpg,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
Le fabuleux destin d&apos;Amélie Poulain,122,8.3,R,810130,https://www.imdb.com/title/tt0211915/,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_.jpg,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
Oppenheimer,180,8.3,R,833551,https://www.imdb.com/title/tt15398776/,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_.jpg,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
A Clockwork Orange,136,8.2,R,900882,https://www.imdb.com/title/tt0066921/,"Crime, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg,Alex DeLarge and his droogs barbarize a decaying near-future.
To Kill a Mockingbird,129,8.3,Approved,340055,https://www.imdb.com/title/tt0056592/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BZTlkYWU4MGEtZmQyYi00OWEzLTgzY2EtYzVjOTEzYzAyNTk1XkEyXkFqcGc@._V1_.jpg,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
Jodaeiye Nader az Simin,123,8.3,PG-13,265918,https://www.imdb.com/title/tt1832382/,Drama,https://m.media-amazon.com/images/M/MV5BMDM0ZWRmMzctM2M5ZS00ZjU0LWIxN2MtNWNlNGY1ZDhjMDVhXkEyXkFqcGc@._V1_.jpg,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.
Die Hard,132,8.2,R,977064,https://www.imdb.com/title/tt0095016/,"Action, Thriller",https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_.jpg,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
The Sting,129,8.3,PG,286544,https://www.imdb.com/title/tt0070735/,"Comedy, Crime, Drama",https://m.media-amazon.com/images/M/MV5BZGI4OTk4MDMtYmQ1Ni00YTUzLTkyYTktZGUwMjMyN2M4NjQ5XkEyXkFqcGc@._V1_.jpg,Two grifters team up to pull off the ultimate con.
Indiana Jones and the Last Crusade,127,8.2,PG-13,828866,https://www.imdb.com/title/tt0097576/,"Action, Adventure",https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_.jpg,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Taare Zameen Par,162,8.3,PG,213964,https://www.imdb.com/title/tt0986264/,"Drama, Family",https://m.media-amazon.com/images/M/MV5BZTI0ZGRiMDEtNGNjMS00MGU4LWI3OTktNzcxMDZmZTk3MTljXkEyXkFqcGc@._V1_.jpg,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
Metropolis,153,8.3,Not Rated,191600,https://www.imdb.com/title/tt0017136/,"Drama, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_.jpg,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Snatch,102,8.2,R,932857,https://www.imdb.com/title/tt0208092/,"Comedy, Crime",https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_.jpg,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
1917,119,8.2,R,709516,https://www.imdb.com/title/tt8579674/,"Action, Drama, War",https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_.jpg,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
L.A. Confidential,138,8.2,R,633907,https://www.imdb.com/title/tt0119488/,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_.jpg,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Ladri di biciclette,89,8.3,Not Rated,181743,https://www.imdb.com/title/tt0040522/,Drama,https://m.media-amazon.com/images/M/MV5BZTQzYTIxYzItYmQ5YS00MmFhLWEyMjItNTBhMTRmM2Y5MDJhXkEyXkFqcGc@._V1_.jpg,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Der Untergang,156,8.2,R,383664,https://www.imdb.com/title/tt0363163/,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_.jpg,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII."
Dangal,161,8.3,Not Rated,220619,https://www.imdb.com/title/tt5074352/,"Action, Biography, Drama",https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_.jpg,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
Taxi Driver,114,8.2,R,958525,https://www.imdb.com/title/tt0075314/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_.jpg,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Hamilton,160,8.3,PG-13,123417,https://www.imdb.com/title/tt8503618/,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BYzBhOWY4ZTktMjE2NS00ZGIyLWJkOGMtNDQyN2JjZWFiODdiXkEyXkFqcGc@._V1_.jpg,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
The Wolf of Wall Street,180,8.2,R,1647628,https://www.imdb.com/title/tt0993846/,"Biography, Comedy, Crime",https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_.jpg,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Batman Begins,140,8.2,PG-13,1621835,https://www.imdb.com/title/tt0372784/,"Action, Drama",https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_.jpg,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
Per qualche dollaro in più,132,8.2,R,283514,https://www.imdb.com/title/tt0059578/,"Drama, Western",https://m.media-amazon.com/images/M/MV5BNTRmOTcyYmYtMTIwNi00ZGYyLTk4YjYtZGJlZTgwZGY0NGQyXkEyXkFqcGc@._V1_.jpg,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
Green Book,130,8.2,PG-13,613227,https://www.imdb.com/title/tt6966692/,"Biography, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNDU5YTNmMmItN2QxNy00OGQ0LTg5MTctNzFmYjEzZjcwN2UwXkEyXkFqcGc@._V1_.jpg,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Some Like It Hot,121,8.2,Approved,290641,https://www.imdb.com/title/tt0053291/,"Comedy, Music, Romance",https://m.media-amazon.com/images/M/MV5BZTllZDYyNjEtY2RmMS00NmJhLWI4ODAtMTQ0NWFiZTJhZjA0XkEyXkFqcGc@._V1_.jpg,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
The Truman Show,103,8.2,PG,1248587,https://www.imdb.com/title/tt0120382/,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_.jpg,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
Judgment at Nuremberg,179,8.3,Approved,89041,https://www.imdb.com/title/tt0055031/,"Drama, War",https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_.jpg,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti..."
The Kid,68,8.2,Passed,139139,https://www.imdb.com/title/tt0012349/,"Comedy, Drama, Family",https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_.jpg,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
The Father,97,8.2,PG-13,205913,https://www.imdb.com/title/tt10272386/,"Drama, Mystery",https://m.media-amazon.com/images/M/MV5BYzUxMDAyMDAtNzIyZi00OGQ1LTllMjEtYzRjOThkZTUxNTliXkEyXkFqcGc@._V1_.jpg,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Shutter Island,138,8.2,R,1515681,https://www.imdb.com/title/tt1130884/,"Drama, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_.jpg,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
All About Eve,138,8.2,Approved,142620,https://www.imdb.com/title/tt0042192/,Drama,https://m.media-amazon.com/images/M/MV5BOTM4ZjUzOGUtYzdlZi00ZmM5LTk5NTEtMjQxNDVmOTc5NWNlXkEyXkFqcGc@._V1_.jpg,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
There Will Be Blood,158,8.2,R,659376,https://www.imdb.com/title/tt0469494/,Drama,https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_.jpg,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Jurassic Park,127,8.2,PG-13,1099823,https://www.imdb.com/title/tt0107290/,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_.jpg,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger."
Casino,178,8.2,R,581704,https://www.imdb.com/title/tt0112641/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_.jpg,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
The Sixth Sense,107,8.2,PG-13,1083098,https://www.imdb.com/title/tt0167404/,"Drama, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_.jpg,"After being shot by a resentful former patient who he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret."
