Title,Duration in minutes,Rating (Numeric),Rating (Label),Votes,Link,Genres,Poster Link,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
City Lights,0.21761658031088082,8.5,G,0.05968221583607291,https://www.imdb.com/title/tt0021749/,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_.jpg,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Apocalypse Now,0.528497409326425,8.4,R,0.23790175109836584,https://www.imdb.com/title/tt0078788/,"Drama, Mystery, War",https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_.jpg,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Memento,0.35233160621761656,8.4,R,0.4497787043778473,https://www.imdb.com/title/tt0209144/,"Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_.jpg,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
WALL·E,0.2746113989637306,8.4,G,0.40975316428740916,https://www.imdb.com/title/tt0910970/,"Animation, Adventure, Family",https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Raiders of the Lost Ark,0.3626943005181347,8.4,PG,0.349498358281905,https://www.imdb.com/title/tt0082971/,"Action, Adventure",https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_.jpg,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Das Leben der Anderen,0.4766839378238343,8.4,R,0.13347604146174766,https://www.imdb.com/title/tt0405094/,"Drama, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_.jpg,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Avengers: Infinity War,0.5388601036269431,8.4,PG-13,0.4157068852108815,https://www.imdb.com/title/tt4154756/,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sunset Blvd.,0.3367875647668394,8.4,Approved,0.07364104477763289,https://www.imdb.com/title/tt0043014/,"Drama, Film-Noir",https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_.jpg,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12th Fail,0.528497409326425,8.8,Unknown Rating,0.03775715010988728,https://www.imdb.com/title/tt23849204/,"Biography, Drama",https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_.jpg,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,0.3730569948186529,8.4,PG,0.23067846188895266,https://www.imdb.com/title/tt4633694/,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paths of Glory,0.2227979274611399,8.4,Approved,0.06593473824111387,https://www.imdb.com/title/tt0050825/,"Drama, War",https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_.jpg,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Witness for the Prosecution,0.3678756476683938,8.4,Approved,0.04006711540970618,https://www.imdb.com/title/tt0051201/,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_.jpg,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Shining,0.5233160621761659,8.4,R,0.3786017577909782,https://www.imdb.com/title/tt0081505/,"Drama, Horror",https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_.jpg,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Great Dictator,0.41450777202072536,8.4,G,0.07380565600107623,https://www.imdb.com/title/tt0032553/,"Comedy, Drama, War",https://m.media-amazon.com/images/M/MV5BMjc4ZjEwNDUtMjlmZS00NzQ4LTg2N2MtMGI3ZjMyMmM3ZDM2XkEyXkFqcGc@._V1_.jpg,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aliens,0.4766839378238343,8.4,R,0.2603561416210859,https://www.imdb.com/title/tt0090605/,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_.jpg,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Inglourious Basterds,0.5595854922279793,8.4,R,0.546391972110059,https://www.imdb.com/title/tt0361748/,"Adventure, Drama, War",https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_.jpg,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Dark Knight Rises,0.616580310880829,8.4,PG-13,0.6273702157116848,https://www.imdb.com/title/tt1345836/,"Action, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Coco,0.3108808290155441,8.4,PG,0.2038093132771289,https://www.imdb.com/title/tt2380307/,"Animation, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_.jpg,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amadeus,0.5958549222797929,8.4,PG,0.14016121759575675,https://www.imdb.com/title/tt0086879/,"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_.jpg,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toy Story,0.18652849740932642,8.3,G,0.3639794137947585,https://www.imdb.com/title/tt0114709/,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oldeuboi,0.38860103626943004,8.3,R,0.21480311213235417,https://www.imdb.com/title/tt0364569/,"Action, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.2590673575129534,8.3,PG,0.1706078717289857,https://www.imdb.com/title/tt0057012/,"Comedy, War",https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_.jpg,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Avengers: Endgame,0.7046632124352332,8.4,PG-13,0.437973341770081,https://www.imdb.com/title/tt4154796/,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beauty,0.3989637305699482,8.3,R,0.40823448209658586,https://www.imdb.com/title/tt0169547/,Drama,https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_.jpg,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Will Hunting,0.41968911917098445,8.3,R,0.3667889589472453,https://www.imdb.com/title/tt0119217/,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_.jpg,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Braveheart,0.689119170984456,8.3,R,0.3679885590129546,https://www.imdb.com/title/tt0112573/,"Biography, Drama, War",https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_.jpg,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Das Boot,0.5388601036269431,8.4,Unknown Rating,0.08333789647813104,https://www.imdb.com/title/tt0082096/,"Drama, War",https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_.jpg,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mononoke-hime,0.45595854922279794,8.3,PG-13,0.14310123488838547,https://www.imdb.com/title/tt0119698/,"Animation, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BNjAzODViNGEtMjBkYi00N2U5LWJjNjAtY2U0MGJhZTEwOTU0XkEyXkFqcGc@._V1_.jpg,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kimi no na wa.,0.3160621761658032,8.4,Unknown Rating,0.10685837282988664,https://www.imdb.com/title/tt5311514/,"Animation, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_.jpg,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tengoku to jigoku,0.5077720207253886,8.4,Not Rated,0.010284314341862695,https://www.imdb.com/title/tt0057565/,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BOTFmOTNjYjUtMDA2MC00ZTJiLThiYzktNDdjNzQwMjNkN2NmXkEyXkFqcGc@._V1_.jpg,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joker,0.3989637305699482,8.3,R,0.5227149967922782,https://www.imdb.com/title/tt7286456/,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_.jpg,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3 Idiots,0.6476683937823835,8.4,PG-13,0.14294101780437696,https://www.imdb.com/title/tt1187043/,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_.jpg,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in America,0.9533678756476685,8.3,R,0.1222591555275232,https://www.imdb.com/title/tt0087843/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_.jpg,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singin&apos; in the Rain,0.3005181347150259,8.3,G,0.0815812547363753,https://www.imdb.com/title/tt0045152/,"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_.jpg,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Capharnaüm,0.41968911917098445,8.4,R,0.028846173346772634,https://www.imdb.com/title/tt8267604/,Drama,https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_.jpg,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idi i smotri,0.5025906735751295,8.3,Not Rated,0.027040182039056462,https://www.imdb.com/title/tt0091251/,"Drama, Thriller, War",https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_.jpg,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Requiem for a Dream,0.29533678756476683,8.3,NC-17,0.30336057023761476,https://www.imdb.com/title/tt0180093/,Drama,https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_.jpg,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3,0.3005181347150259,8.3,G,0.30106649144190645,https://www.imdb.com/title/tt0435761/,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,0.4455958549222799,8.3,PG,0.3791679257566201,https://www.imdb.com/title/tt0086190/,"Action, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_.jpg,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jagten,0.3626943005181347,8.3,R,0.11913830249661483,https://www.imdb.com/title/tt2106476/,Drama,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_.jpg,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,0.32642487046632124,8.3,R,0.36785504477628084,https://www.imdb.com/title/tt0338013/,"Drama, Romance, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ikiru,0.5077720207253886,8.3,Not Rated,0.02254430137577125,https://www.imdb.com/title/tt0044741/,Drama,https://m.media-amazon.com/images/M/MV5BZTk4OGEwNDQtOGI2MC00MTU2LTk0YTEtNmU5NTIxMWNkNDhlXkEyXkFqcGc@._V1_.jpg,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001: A Space Odyssey,0.5388601036269431,8.3,G,0.2415989124166888,https://www.imdb.com/title/tt0062622/,"Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_.jpg,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Reservoir Dogs,0.2797927461139897,8.3,R,0.3685307282170678,https://www.imdb.com/title/tt0105236/,"Crime, Thriller",https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_.jpg,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Apartment,0.41450777202072536,8.3,Approved,0.05990902103305542,https://www.imdb.com/title/tt0053604/,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_.jpg,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lawrence of Arabia,0.9430051813471503,8.3,PG,0.10042400065438876,https://www.imdb.com/title/tt0056172/,"Adventure, Biography, Drama",https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_.jpg,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incendies,0.4455958549222799,8.3,R,0.06455362641567343,https://www.imdb.com/title/tt1255953/,"Drama, Mystery, War",https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_.jpg,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Scarface,0.6476683937823835,8.3,R,0.3108353394269907,https://www.imdb.com/title/tt0086250/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_.jpg,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Indemnity,0.32124352331606215,8.3,Approved,0.04907172114385533,https://www.imdb.com/title/tt0036775/,"Crime, Drama, Film-Noir",https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_.jpg,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
North by Northwest,0.4715025906735752,8.3,Approved,0.11132788865656285,https://www.imdb.com/title/tt0053125/,"Adventure, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_.jpg,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Citizen Kane,0.38341968911917096,8.3,PG,0.15171205812702848,https://www.imdb.com/title/tt0033467/,"Drama, Mystery",https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_.jpg,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Heat,0.6476683937823835,8.3,R,0.24140523227083038,https://www.imdb.com/title/tt0113277/,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_.jpg,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M - Eine Stadt sucht einen Mörder,0.2797927461139897,8.3,Passed,0.04974977065972257,https://www.imdb.com/title/tt0022100/,"Crime, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_.jpg,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Vertigo,0.4300518134715026,8.3,PG,0.13922661793904043,https://www.imdb.com/title/tt0052357/,"Mystery, Romance, Thriller",https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_.jpg,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Full Metal Jacket,0.3678756476683938,8.2,R,0.26485945852033776,https://www.imdb.com/title/tt0093058/,"Drama, War",https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_.jpg,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
